Model,Dependent_Variable,Independent_Variable,Coefficient,Std_Error,t_value,p_value,CI_Lower,CI_Upper,Significant_5%,Significant_10%,Is this model significant overall (F-test p<0.05)?
X1: Institutional,Retail_Share,DayOfWeek,-0.10323579195660304,0.10773127861628425,-0.9582712957887266,0.33921848974514024,-0.3158225094443748,0.10935092553116871,No,No,Yes
X1: Institutional,Retail_Share,NSE VIX - India,-0.9263201750763121,0.22007434809809126,-4.209123794216279,4.051568155475215e-05,-1.3605940820265137,-0.49204626812611063,Yes,Yes,Yes
X1: Institutional,Retail_Share,Returns - BANK NIFTY INDEX,-0.05908041767508232,0.15744753738287126,-0.37523875353740327,0.7079271625296831,-0.3697724987370298,0.25161166338686514,No,No,Yes
X1: Institutional,Retail_Share,FII_Net_Position,-0.7203755313125891,0.22216836594744568,-3.2424757153905306,0.001413494062276309,-1.1587815750634745,-0.28196948756170387,Yes,Yes,Yes
X1: Institutional,Retail_Short_Ratio,DayOfWeek,0.0012133989345031685,0.0005472953232287796,2.2170825932600655,0.027876653667482928,0.0001334180992619853,0.0022933797697443515,Yes,Yes,Yes
X1: Institutional,Retail_Short_Ratio,NSE VIX - India,-0.0013308176848944985,0.0011180194185359063,-1.1903350360741145,0.23549098715557168,-0.003537011478627207,0.0008753761088382099,No,No,Yes
X1: Institutional,Retail_Short_Ratio,Returns - BANK NIFTY INDEX,-0.0019873072471733415,0.0007998633448921929,-2.48455846847338,0.013889820105207434,-0.003565681931976517,-0.00040893256237016593,Yes,Yes,Yes
X1: Institutional,Retail_Short_Ratio,FII_Net_Position,0.004618833136891421,0.0011286574262754341,4.092325119530339,6.452273017543324e-05,0.0023916473046810974,0.006846018969101745,Yes,Yes,Yes
X1: Institutional,Retail_Put_Share,DayOfWeek,-0.0015385566220633817,0.0023675491982646252,-0.649852017094774,0.5166209098861719,-0.0062104543198765036,0.0031333410757497402,No,No,Yes
X1: Institutional,Retail_Put_Share,NSE VIX - India,-0.015949488243233792,0.004836449108286069,-3.297768235772037,0.0011755376560747355,-0.02549327954909306,-0.006405696937374524,Yes,Yes,Yes
X1: Institutional,Retail_Put_Share,Returns - BANK NIFTY INDEX,0.00011209286393797091,0.0034601352150220445,0.0323955154848643,0.9741927326425015,-0.006715810757677399,0.006939996485553341,No,No,Yes
X1: Institutional,Retail_Put_Share,FII_Net_Position,0.021281621881183314,0.004882468150704094,4.35878355460738,2.201072978905385e-05,0.01164702094886056,0.030916222813506068,Yes,Yes,Yes
X2: Lagged Effects,Retail_Share,DayOfWeek,-0.12064408072941679,0.11170394078933718,-1.0800342394091524,0.28158815343997495,-0.34107850265822387,0.09979034119939029,No,No,Yes
