Date,Client_Future Index Long,Client_Future Index Short,Client_Option Index Call Long,Client_Option Index Put Long,Client_Option Index Call Short,Client_Option Index Put Short,DII_Future Index Long,DII_Future Index Short,DII_Option Index Call Long,DII_Option Index Put Long,DII_Option Index Call Short,DII_Option Index Put Short,FII_Future Index Long,FII_Future Index Short,FII_Option Index Call Long,FII_Option Index Put Long,FII_Option Index Call Short,FII_Option Index Put Short,Total Call Options - Open Interest BANK NIFTY INDEX,Total Put Options - Open Interest BANK NIFTY INDEX,Total Futures - Open Interest BANK NIFTY INDEX,Price - BANK NIFTY INDEX,Returns - BANK NIFTY INDEX,NSE VIX - India,is_expiry,Total_OI
1/1/2024,183839,243040,4795416,4023569,5054679,4499891,75618,73647,0,51490,0,0,148654,67297,1292263,1506615,793188,997728,3567161,3089738,151918,48234.3,,14.68,0,30398434
1/2/2024,195331,237965,6280912,3736471,6250446,4306826,61533,74099,0,62135,0,0,150027,70562,1636648,1397784,1178338,859925,6035710,3362713,168221,47761.65,-0.00984737,14.58,0,33738502
1/3/2024,190653,222108,4252096,3038646,4363290,3462806,58639,77605,0,63594,0,0,148146,77548,1118687,1014892,832750,711454,5963643,5428083,150301,47704.95,-0.00118785,14.0975,0,24906542
1/4/2024,194255,226533,2885314,3394011,3191812,3582969,58535,78040,0,65962,0,0,148523,76456,729043,831868,463513,653110,2474201,2909398,155033,48195.85,0.010237752,13.33,0,21768122
1/5/2024,189489,225431,4666702,3745783,5120968,4339977,59660,78034,0,66532,0,0,151352,75099,1132425,1121257,795297,721194,3591153,2773180,145077,48159,-0.000764881,12.63,0,27906176
1/8/2024,197049,234261,6657085,3703911,6311289,4075376,59660,79049,0,72446,0,0,152854,93872,1360438,1156891,1284616,993217,5175981,2961629,175470,47450.25,-0.014826243,13.4625,0,33689484
1/9/2024,184395,232078,6474592,3608960,6242166,3976495,59660,79064,0,72474,0,0,164765,90877,1320520,1166029,1140485,996314,5943352,3283202,169059,47242.65,-0.004384707,13.2625,0,32489656
1/10/2024,180562,222150,3666757,3425983,3865413,3771706,58082,77068,0,72470,0,0,158987,93000,796917,983388,632464,766719,6223174,5969466,164100,47360.85,0.002498852,12.97,0,23991338
1/11/2024,190940,231247,3246572,2647460,3332712,3112936,55182,81468,0,72474,0,0,158011,91391,683032,793616,574029,616169,2612889,2215825,170140,47438.35,0.001635035,12.7675,0,20990676
1/12/2024,189917,231913,3593334,4357919,3991856,4696806,54952,81368,0,79404,0,0,158057,91438,1069803,1287572,789949,1014822,2838142,3004250,152731,47709.8,0.005705854,13.1,0,27754350
