Date,Client_Future Index Long,Client_Future Index Short,Client_Option Index Call Long,Client_Option Index Put Long,Client_Option Index Call Short,Client_Option Index Put Short,DII_Future Index Long,DII_Future Index Short,DII_Option Index Call Long,DII_Option Index Put Long,DII_Option Index Call Short,DII_Option Index Put Short,FII_Future Index Long,FII_Future Index Short,FII_Option Index Call Long,FII_Option Index Put Long,FII_Option Index Call Short,FII_Option Index Put Short,Total Call Options - Open Interest BANK NIFTY INDEX,Total Put Options - Open Interest BANK NIFTY INDEX,Total Futures - Open Interest BANK NIFTY INDEX,Price - BANK NIFTY INDEX,Returns - BANK NIFTY INDEX,NSE VIX - India,is_expiry,Total_OI
2/3/2025,244573,98840,2741422,2150769,2529125,2226935,68365,49328,1920,31690,0,0,24408,208525,685051,628750,870383,640782,3796408,2972793,154400,49165.95,0.006102058,18.64,0,17061144
2/4/2025,222854,88359,2358751,2771409,2301149,2634415,68219,59314,1920,31677,0,0,38700,192104,697341,687826,785944,735818,3355101,3125864,159769,49311.95,0.002965134,17.39,0,17428210
2/5/2025,221739,88790,2869028,2820133,2689900,2685066,68115,59314,1920,31677,0,0,42167,191515,768846,749243,909107,852227,585345,498229,112124,49587.2,0.005566291,16.2475,0,19312524
2/6/2025,227763,87919,1517474,1394307,1564873,1618212,68084,59364,70,21614,0,0,38444,194579,524891,542163,508875,389933,690579,544644,116181,49506.95,-0.001619672,14.095,0,11636566
2/7/2025,226215,87421,2106339,1614047,2194692,1891898,68477,57794,70,16219,0,0,38229,200697,561804,598457,524497,426563,772700,608662,114277,49210.55,-0.006005032,14.3525,0,14063538
2/10/2025,236141,90960,2592148,1758575,2679242,2097821,67838,56124,70,14619,0,0,36690,210176,586643,643738,537302,448660,765748,697935,102263,50157.95,0.019068995,14.0175,0,16027576
2/11/2025,247832,101371,3129276,1824215,3132280,2173601,68319,52564,70,14247,0,0,36747,221195,637865,692555,586643,479464,804385,737546,101378,50343.05,0.00368355,14.0825,0,17751964
2/12/2025,246805,102907,3270916,2184107,3209342,2443651,76172,49949,70,14984,0,0,40458,227279,656495,673625,618351,475534,841760,778679,101016,50382.1,0.000775377,14.175,0,18653752
2/13/2025,244028,104464,1990433,1435712,2003181,1760017,75908,49949,70,14984,0,0,42684,226273,480817,554308,431133,336740,932893,790059,104119,50158.85,-0.004440984,13.685,0,13009956
2/14/2025,249010,106408,2647115,1649498,2713633,2055260,75443,53069,70,14984,0,0,43202,232541,566240,640303,512163,378651,973416,801894,108792,49981,-0.003552036,14.445,0,15892340
2/17/2025,248720,107978,2697977,2037938,2824371,2384336,74382,53077,70,14984,0,0,44423,230123,573802,649153,524490,389979,1059894,796345,127247,49403.4,-0.011623685,14.87,0,16951154
2/18/2025,247754,105138,3031844,2133637,3126118,2508396,73748,53012,70,14984,0,0,43508,230840,591630,678049,545230,405155,1027811,813368,126072,49479.45,0.001538184,14.895,0,18004128
2/19/2025,248354,104447,3180520,2340374,3218484,2637113,76663,51212,70,14984,0,0,44770,230303,627494,672286,568668,404278,1119552,840070,128217,49359.85,-0.002420091,14.955,0,18786420
2/20/2025,250698,103887,2262692,1656854,2271099,1998247,81057,51208,70,14984,0,0,43775,235979,504014,576591,466784,313549,1210734,826416,135829,49099.45,-0.005289508,15.015,0,14234318
2/21/2025,253223,114331,2881504,1851496,2889335,2267062,80041,51208,70,14984,0,0,41129,234020,581744,662780,555308,383346,1176175,881756,133352,49258.9,0.003242229,15.7225,0,16820264
2/24/2025,263109,114389,3484830,2106559,3367981,2452214,80328,51018,70,12984,0,0,44402,245292,826414,872668,822725,590312,1257430,885626,135219,49087.3,-0.003489716,15.665,0,19767444
2/25/2025,258745,109970,3363739,2269564,3253671,2517199,80604,55018,70,10984,0,0,51630,251208,905778,1028325,903430,771324,1230735,1012491,133578,49570.1,0.009787484,15.42,0,20355034
2/27/2025,216890,80600,1229145,1053687,1359503,1402435,79508,53018,70,10735,0,0,41784,215318,393097,489910,310606,228293,1347293,1059187,136851,49334.55,-0.004763182,14.6825,0,9289348
2/28/2025,237356,92027,2169993,1357063,2279534,1750673,86986,47435,70,13902,0,0,41136,229727,531870,676796,468611,432487,1482197,1011684,142942,48981.2,-0.007188096,14.53,0,13869624
3/3/2025,242627,100768,2391529,1722564,2550391,2033460,87681,44305,3470,13977,0,0,43895,231687,579075,705798,515981,472525,1537535,1168313,141500,48651.95,-0.006744661,14.4425,0,15658052
3/4/2025,248728,101527,2526253,2022491,2748345,2375806,87912,41005,4870,13050,0,0,46943,234366,653091,802644,518692,485956,1569593,1276522,147978,48608.35,-0.000896563,13.715,0,17038094
3/5/2025,250774,101860,2425090,2536434,2699005,2809123,89196,41538,4870,13593,0,0,48788,233366,732056,895318,577455,598436,1609293,1370127,141247,48743.8,0.002782683,13.3075,0,18802164
3/6/2025,242505,100936,1501303,1695092,1787758,2011331,98910,42636,4870,12093,0,0,51135,225490,532055,658914,385016,392152,513772,489018,124732,48344.7,-0.008221411,13.91,0,13373406
3/7/2025,241454,100737,2030884,2096607,2323134,2436254,98954,44236,4870,12093,0,0,51584,227742,657621,837641,474837,520415,604448,549742,133922,48114.3,-0.004777168,13.7625,0,16493470
3/10/2025,249674,113513,2556477,2114269,2750477,2501703,98694,44369,2175,14209,0,0,51147,230626,750958,882920,555812,548702,628238,625133,130983,48245.2,0.002716911,13.83,0,18041876
3/11/2025,253917,116552,2588445,2622791,2873879,2985590,103611,44602,2126,14318,0,0,51820,230791,833821,1042012,583037,634059,662107,676760,134416,48489.95,0.005060219,13.67,0,19969140
3/12/2025,256338,112916,2973341,2654904,3146060,2954076,103755,44602,1575,14277,0,0,51136,234617,881065,1077536,662085,689396,711344,728544,130689,48627.7,0.002836767,13.725,0,20959010
3/13/2025,254107,114733,1935052,1798684,2088672,2147574,106255,43494,1202,14153,0,0,55534,239568,628016,741833,482139,447640,777688,767290,131001,48497.5,-0.002681077,13.47,0,14955270
3/17/2025,250012,115920,2250939,2331364,2591513,2666397,106341,43494,926,14153,0,0,58092,229976,725575,886098,516694,582235,853905,790479,141421,48216.8,-0.005804742,13.985,0,18032110
3/18/2025,237453,126480,2179393,3195964,2570649,3245059,107513,43833,590,18153,0,0,65115,206226,801355,906678,600888,662948,906188,852405,150172,47853.95,-0.007553844,14.0725,0,20242982
3/19/2025,226785,132125,2449500,3351297,2819189,3404766,112186,41833,475,23953,0,0,74278,202668,909741,955048,626941,663688,903905,881361,150136,48056.65,0.004226859,13.6925,0,21368774
3/20/2025,207628,136007,1880654,2387928,2158176,2444728,114276,39897,388,24953,0,0,81120,192190,684160,743274,496670,550034,958952,900560,151387,48060.4,7.80E-05,13.28,0,16314698
3/21/2025,191804,140234,2232165,2957711,2530187,2966754,113985,39043,321,24953,0,0,84446,181161,816239,873970,647010,737651,936774,961539,153328,48354.15,0.006093497,13.415,0,19284974
3/24/2025,181946,138895,2376823,3236521,2590261,3182634,113071,42700,281,27779,0,0,85847,181343,916649,994522,801996,917374,918671,1103452,153056,49314.5,0.019666105,13.21,0,21228716
3/25/2025,185590,146893,3135964,3252047,3185872,3298030,105147,42893,137,53703,0,0,87457,178061,1054118,1116435,904190,932537,961276,1183154,155854,49702.6,0.00783909,13.2975,1,23128999
3/26/2025,184778,143235,3368700,3027090,3465906,3170929,104363,40255,101,56117,0,0,85611,169344,1154735,1143462,928628,876464,1045030,1225585,151141,50062.85,0.00722197,12.6025,0,23696630
